train_losses,train_fscores,train_accs,val_losses,val_fscores,val_accs,test_losses,test_fscores,test_accs
1.7792,32.79,39.68,,,,1.4901,34.3,48.81
1.5757,35.34,45.32,,,,1.4629,38.48,48.81
1.5414,36.58,46.15,,,,1.4682,40.9,48.01
1.5006,38.64,47.5,,,,1.4498,38.52,48.35
1.4831,38.79,47.77,,,,1.4281,39.88,49.39
1.4672,40.25,48.04,,,,1.4386,41.87,49.12
1.454,39.69,48.04,,,,1.4292,40.39,48.47
1.4328,40.63,48.72,,,,1.4331,39.49,49.2
1.4374,40.78,48.86,,,,1.4263,40.78,49.04
1.4316,41.15,48.71,,,,1.427,41.21,49.35
1.4185,41.34,49.28,,,,1.4374,42.37,49.23
1.4227,41.71,49.38,,,,1.4395,41.14,48.7
1.4181,41.49,49.11,,,,1.4469,40.72,48.24
1.4121,41.86,49.7,,,,1.4364,41.52,49.12
1.4104,42.0,49.86,,,,1.4273,41.62,49.43
1.4036,42.23,49.78,,,,1.4454,41.17,49.35
1.4025,42.03,49.47,,,,1.4307,41.13,49.27
1.4037,42.38,49.82,,,,1.4324,42.28,49.62
1.3984,42.25,49.86,,,,1.4303,41.88,49.12
1.393,42.97,49.92,,,,1.4251,42.88,49.81
1.3908,42.5,49.83,,,,1.4291,41.68,49.16
1.3887,42.94,50.38,,,,1.4363,42.76,49.43
1.3843,43.32,50.5,,,,1.4233,42.34,49.66
1.3875,43.01,50.41,,,,1.4273,41.83,49.62
1.3819,42.96,50.41,,,,1.4415,40.79,49.12
1.3818,43.22,50.33,,,,1.438,41.6,49.77
1.3837,43.13,50.35,,,,1.4575,42.15,47.97
1.3843,43.48,50.47,,,,1.4235,42.11,49.54
1.3784,43.3,50.49,,,,1.4936,40.15,46.02
1.3713,43.75,51.0,,,,1.4383,42.85,49.5
1.3723,43.72,50.6,,,,1.4338,43.27,49.39
1.3705,43.99,50.8,,,,1.4423,43.15,49.04
1.377,43.52,50.68,,,,1.44,42.93,49.31
1.3664,44.3,51.19,,,,1.4335,44.14,49.43
1.3667,43.96,50.93,,,,1.4206,41.49,50.27
1.3667,43.32,50.56,,,,1.4281,42.41,50.19
1.3629,44.26,51.07,,,,1.446,42.36,49.23
1.3596,44.46,51.34,,,,1.4586,41.61,48.35
1.3603,44.0,50.85,,,,1.4533,41.69,48.28
1.353,44.4,51.2,,,,1.471,40.29,46.51
1.3521,44.94,51.83,,,,1.4403,41.63,50.0
1.3566,43.99,51.04,,,,1.4377,42.7,48.81
1.3558,44.92,51.44,,,,1.4291,41.45,49.85
1.3608,44.1,50.77,,,,1.4539,40.93,49.81
1.3499,44.29,51.38,,,,1.466,40.69,46.82
1.3525,44.35,51.06,,,,1.4667,40.71,47.13
1.3506,45.24,51.68,,,,1.4584,41.24,48.2
1.3442,44.56,51.19,,,,1.4386,41.76,49.69
1.3431,44.6,51.49,,,,1.4466,42.07,48.47
1.3437,44.77,51.63,,,,1.4849,40.54,45.86
1.35,45.26,51.68,,,,1.4429,41.92,49.23
1.3424,45.06,51.52,,,,1.4507,42.19,49.0
1.3417,45.02,51.69,,,,1.468,41.03,47.78
1.3408,45.17,51.62,,,,1.441,41.99,49.46
1.3362,45.45,51.9,,,,1.4561,41.66,47.74
1.3342,45.02,51.66,,,,1.4912,41.16,45.98
1.3488,44.92,51.28,,,,1.4403,41.87,48.85
1.3383,45.28,51.69,,,,1.4443,41.48,48.74
1.3299,45.53,52.19,,,,1.4502,41.99,49.31
1.3354,45.73,51.94,,,,1.4435,41.91,49.08
1.3284,45.61,52.09,,,,1.4484,42.12,48.62
1.3304,45.65,52.03,,,,1.4463,42.15,49.43
1.3266,45.63,52.05,,,,1.4619,41.52,49.27
1.3238,46.18,52.52,,,,1.443,42.34,49.5
1.3279,45.71,51.96,,,,1.4583,41.7,48.62
1.3248,46.14,52.44,,,,1.4617,41.14,48.35
1.3215,46.41,52.69,,,,1.4536,41.43,49.04
1.3196,46.34,52.7,,,,1.4735,41.33,47.78
1.3254,46.36,52.26,,,,1.4616,41.58,49.31
1.3175,46.59,52.65,,,,1.4562,42.4,49.0
1.3181,46.14,52.35,,,,1.456,42.05,49.81
1.3204,46.14,52.23,,,,1.4622,42.31,49.08
1.3159,46.46,52.58,,,,1.4516,42.61,48.62
1.3107,47.01,52.9,,,,1.4545,41.82,49.73
1.3168,46.36,52.41,,,,1.4794,42.08,48.12
1.3053,46.75,52.72,,,,1.4587,42.63,48.31
1.3123,46.71,52.5,,,,1.5092,40.5,46.28
1.3113,46.98,52.63,,,,1.4528,42.66,49.35
1.3089,46.58,52.6,,,,1.4774,41.3,47.93
1.3121,46.83,52.71,,,,1.4676,41.66,48.93
1.3084,46.7,52.85,,,,1.4794,41.82,47.7
1.3042,46.98,52.56,,,,1.4696,42.41,48.74
1.3027,47.36,53.2,,,,1.481,41.69,47.05
1.301,47.25,52.94,,,,1.4856,41.95,47.13
1.3019,46.95,52.86,,,,1.4693,41.8,47.89
1.2974,47.54,53.04,,,,1.5146,40.2,46.7
1.2992,46.83,52.62,,,,1.5023,41.19,47.01
1.2943,47.49,53.26,,,,1.4642,42.29,49.16
1.2926,48.08,53.62,,,,1.4886,41.69,48.39
1.2903,47.11,52.78,,,,1.4706,41.98,49.04
1.287,47.85,53.43,,,,1.4784,42.22,46.97
1.2991,47.36,52.92,,,,1.4728,42.09,48.16
1.2894,48.13,53.36,,,,1.4865,41.43,48.85
1.2956,47.64,53.21,,,,1.4907,41.56,47.24
1.2903,47.67,53.07,,,,1.4891,41.93,47.47
1.2869,48.05,53.69,,,,1.4812,42.24,48.2
1.2895,48.54,53.68,,,,1.5166,41.61,48.85
1.3014,47.81,52.89,,,,1.472,41.91,48.62
1.2885,47.64,53.07,,,,1.4792,41.89,48.54
1.2838,48.23,53.49,,,,1.4823,41.8,49.0
